SYMBOL	GSM995221_AD01M001.CEL.gz	GSM995222_AD01M002.CEL.gz	GSM995223_AD01M003.CEL.gz	GSM995224_AD01M004.CEL.gz	GSM995225_AD01M005.CEL.gz	GSM995226_AD01M006.CEL.gz	GSM995227_AD01M007.CEL.gz	GSM995228_AD01M008.CEL.gz
Gpr68	10.38073867219447	10.226982101377315	9.592708137932739	9.513766276944827	8.234718091025215	8.603271461839672	8.44871573171991	8.357193990048138
Lgmn	8.834137627427854	8.99274428971984	8.247116394890746	8.301674842716944	7.430441547123409	7.4358906200369725	6.998200654244932	6.904802276801741
Pcsk1	7.647557646729364	7.697643930908576	7.597879478956802	7.742565967943104	7.179071301094096	6.839808478293801	7.058905018284953	6.981200228016918
Glrx	9.943278034770929	9.792756479729896	8.539979061515364	8.24116006052159	6.828749189846052	7.243690803196195	7.034122110235039	6.948169044388846
Hist1h1b	12.047299111791485	11.983060379028172	11.021796020124867	11.07205748988932	9.529232982666358	10.298392653749822	9.759600739725801	9.446799413121672
Serpinb6a	9.163732587344574	8.99297789138809	8.675344366024577	8.616155447159262	7.725178196501933	8.034970222573367	7.981148502826727	7.813597988936688
Atxn1	9.442579561582402	9.527505514883119	8.974548641669466	8.795703628707832	7.62871963366948	8.146860793597194	7.75529953551789	7.82362322326226
Flnb	9.423845915451986	9.436034458115943	8.936641658823625	8.73694206041965	7.986526124886813	8.194880106377548	7.9188784403719366	8.02059691669217
Lgals3	9.752215511601417	9.689400187287006	9.064219433500798	8.738633774920453	7.7168647541793165	7.5916912150107745	7.897432638750634	7.820995147660431
Lpar6	8.797339268908718	8.797950541662894	8.766839210666753	8.577911196068563	7.605595824960494	8.124037061736683	7.558344601501107	7.7087275155582216
Gzmb	10.734922101911916	10.758351251283417	9.030268634744655	8.758360200093353	6.5901098839939465	6.1513122249357846	6.426821889484067	6.334490081981841
Tbc1d4	7.243137464075205	7.298726566952014	7.5085387826786105	7.745459160701419	8.291741135953158	8.61370057018233	8.19892742042749	8.28041925571642
Matn2	7.160317971274877	7.217974604699791	7.448049059481281	7.502512680846997	8.05441166714003	8.547978940649319	8.229850267036147	8.136222044813591
Lgals1	12.14179438241495	12.01665869005355	11.315624694370825	11.304062737771634	9.66526581495943	10.157958799328142	9.91087228447773	9.52135003893072
H1f0	10.239771732928038	10.279020583862279	9.380522161294929	9.264804529456217	8.071714050487582	8.537133767524626	8.472787458101394	8.118517770949953
Il7r	10.766957061562799	10.698488395330239	10.286732872965784	10.180900741121313	8.340014737390355	9.342959447461645	8.442825494288329	8.905024082355006
Ly6a	12.329313424991398	12.425790425803907	11.181955947317084	11.022248783383835	8.090390128591958	8.388369261765202	8.083464109854841	8.387150416161287
